iter	Passed	Remaining
0	177	141803
1	195	78082
2	216	57603
3	237	47213
4	251	40065
5	274	36289
6	299	33876
7	328	32567
8	354	31140
9	379	29974
10	407	29209
11	426	27993
12	448	27147
13	467	26265
14	492	25757
15	516	25304
16	539	24856
17	559	24304
18	579	23803
19	602	23489
20	624	23183
21	648	22932
22	671	22696
23	693	22417
24	714	22158
25	735	21896
26	760	21765
27	780	21507
28	801	21306
29	824	21154
30	845	20975
31	865	20774
32	884	20566
33	903	20346
34	924	20216
35	948	20128
36	969	19993
37	988	19824
38	1009	19704
39	1033	19627
40	1053	19496
41	1077	19441
42	1101	19386
43	1121	19272
44	1147	19255
45	1165	19102
46	1187	19024
47	1210	18968
48	1238	18982
49	1262	18932
50	1279	18796
51	1302	18739
52	1321	18620
53	1344	18580
54	1362	18462
55	1381	18353
56	1403	18299
57	1422	18202
58	1441	18105
59	1462	18041
60	1482	17965
61	1503	17901
62	1524	17831
63	1546	17786
64	1566	17712
65	1587	17654
66	1603	17545
67	1630	17551
68	1649	17479
69	1672	17445
70	1694	17397
71	1715	17347
72	1734	17269
73	1758	17249
74	1779	17198
75	1801	17164
76	1822	17116
77	1846	17090
78	1867	17045
79	1888	16998
80	1913	16988
81	1935	16945
82	1953	16872
83	1975	16839
84	1996	16797
85	2021	16782
86	2043	16744
87	2061	16679
88	2077	16597
89	2099	16559
90	2127	16579
91	2152	16567
92	2174	16532
93	2202	16538
94	2230	16552
95	2256	16546
96	2283	16552
97	2311	16561
98	2343	16596
99	2363	16543
100	2391	16553
101	2412	16506
102	2437	16494
103	2458	16451
104	2477	16398
105	2497	16352
106	2520	16323
107	2542	16288
108	2567	16278
109	2590	16247
110	2613	16225
111	2635	16188
112	2653	16130
113	2671	16073
114	2691	16030
115	2712	15995
116	2731	15946
117	2749	15892
118	2770	15854
119	2792	15822
120	2811	15776
121	2832	15738
122	2850	15686
123	2866	15625
124	2882	15567
125	2899	15512
126	2916	15454
127	2935	15408
128	2951	15352
129	2972	15319
130	2992	15280
131	3013	15249
132	3028	15189
133	3044	15131
134	3066	15105
135	3082	15050
136	3097	14991
137	3113	14933
138	3132	14896
139	3152	14863
140	3171	14824
141	3184	14755
142	3199	14700
143	3215	14647
144	3234	14609
145	3252	14571
146	3265	14503
147	3281	14458
148	3293	14389
149	3307	14330
150	3318	14262
151	3331	14200
152	3345	14146
153	3359	14090
154	3371	14028
155	3387	13982
156	3399	13922
157	3414	13875
158	3428	13820
159	3443	13775
160	3460	13735
161	3481	13709
162	3497	13668
163	3522	13659
164	3546	13649
165	3567	13626
166	3585	13589
167	3602	13551
168	3619	13513
169	3629	13449
170	3643	13403
171	3662	13370
172	3675	13320
173	3688	13270
174	3704	13231
175	3719	13186
176	3736	13149
177	3747	13096
178	3762	13054
179	3775	13005
180	3788	12955
181	3800	12905
182	3813	12857
183	3825	12808
184	3837	12756
185	3851	12712
186	3860	12654
187	3874	12611
188	3885	12561
189	3899	12519
190	3909	12466
191	3922	12421
192	3938	12387
193	3953	12350
194	3964	12301
195	3978	12261
196	3992	12221
197	4006	12180
198	4017	12133
199	4031	12094
200	4045	12056
201	4060	12020
202	4071	11973
203	4084	11932
204	4096	11889
205	4111	11854
206	4122	11809
207	4135	11769
208	4149	11733
209	4160	11688
210	4171	11645
211	4183	11603
212	4195	11562
213	4204	11514
214	4214	11466
215	4223	11418
216	4232	11370
217	4246	11335
218	4257	11295
219	4268	11254
220	4279	11211
221	4290	11170
222	4302	11132
223	4312	11088
224	4322	11045
225	4333	11007
226	4343	10964
227	4352	10920
228	4363	10880
229	4373	10839
230	4386	10804
231	4394	10760
232	4406	10723
233	4419	10689
234	4428	10648
235	4438	10607
236	4449	10568
237	4461	10534
238	4472	10498
239	4483	10462
240	4493	10421
241	4503	10384
242	4514	10347
243	4523	10308
244	4534	10272
245	4547	10240
246	4560	10209
247	4570	10173
248	4581	10137
249	4590	10099
250	4601	10065
251	4611	10029
252	4624	9998
253	4635	9965
254	4649	9937
255	4659	9901
256	4670	9868
257	4684	9840
258	4695	9807
259	4706	9774
260	4718	9743
261	4729	9711
262	4740	9679
263	4754	9652
264	4765	9620
265	4776	9588
266	4787	9557
267	4799	9526
268	4811	9497
269	4822	9467
270	4838	9443
271	4853	9422
272	4871	9404
273	4887	9382
274	4901	9358
275	4913	9328
276	4932	9312
277	4947	9289
278	4961	9264
279	4976	9242
280	4992	9221
281	5010	9203
282	5026	9181
283	5041	9159
284	5054	9133
285	5070	9112
286	5083	9086
287	5099	9065
288	5114	9043
289	5129	9020
290	5143	8997
291	5166	8988
292	5178	8960
293	5194	8939
294	5212	8923
295	5227	8901
296	5242	8877
297	5248	8841
298	5253	8803
299	5260	8767
300	5267	8732
301	5272	8694
302	5277	8656
303	5283	8619
304	5289	8584
305	5296	8550
306	5302	8514
307	5308	8479
308	5314	8444
309	5320	8410
310	5327	8376
311	5334	8344
312	5341	8311
313	5348	8278
314	5356	8246
315	5362	8213
316	5369	8181
317	5375	8148
318	5382	8116
319	5389	8084
320	5396	8053
321	5403	8021
322	5410	7989
323	5416	7958
324	5424	7928
325	5430	7896
326	5437	7865
327	5446	7837
328	5453	7807
329	5461	7778
330	5468	7748
331	5476	7719
332	5483	7689
333	5490	7659
334	5497	7631
335	5505	7602
336	5511	7572
337	5517	7542
338	5524	7512
339	5532	7485
340	5541	7459
341	5548	7429
342	5555	7401
343	5563	7374
344	5570	7347
345	5578	7320
346	5586	7292
347	5594	7266
348	5602	7240
349	5609	7212
350	5617	7185
351	5626	7160
352	5634	7135
353	5641	7108
354	5649	7081
355	5656	7054
356	5663	7027
357	5671	7002
358	5678	6975
359	5685	6948
360	5692	6922
361	5700	6897
362	5708	6871
363	5715	6845
364	5723	6820
365	5731	6795
366	5740	6772
367	5747	6746
368	5755	6722
369	5762	6696
370	5769	6671
371	5777	6647
372	5785	6622
373	5793	6598
374	5801	6574
375	5808	6550
376	5816	6526
377	5825	6503
378	5832	6478
379	5840	6455
380	5847	6431
381	5856	6407
382	5864	6385
383	5872	6361
384	5880	6339
385	5888	6315
386	5895	6291
387	5903	6268
388	5910	6245
389	5919	6223
